,id,utcDate,status,matchday,stage,group,lastUpdated,referees,season.id,season.startDate,season.endDate,season.currentMatchday,odds.msg,score.winner,score.duration,score.fullTime.homeTeam,score.fullTime.awayTeam,score.halfTime.homeTeam,score.halfTime.awayTeam,score.extraTime.homeTeam,score.extraTime.awayTeam,score.penalties.homeTeam,score.penalties.awayTeam,homeTeam.id,homeTeam.name,awayTeam.id,awayTeam.name
20,303781,2020-09-26T16:30:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-27T04:59:45Z,"[{'id': 11567, 'name': 'Jonathan Moss', 'role': 'REF', 'nationality': 'England'}, {'id': 11531, 'name': 'Marc Perry', 'role': 'REF', 'nationality': 'England'}, {'id': 11431, 'name': 'Daniel Robathan', 'role': 'REF', 'nationality': 'England'}, {'id': 11479, 'name': 'Lee Mason', 'role': 'REF', 'nationality': 'England'}, {'id': 11469, 'name': 'Darren England', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,3,3,3,0,,,,,74,West Bromwich Albion FC,61,Chelsea FC
21,303783,2020-09-26T19:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-11-14T08:35:41Z,"[{'id': 11610, 'name': 'Andre Marriner', 'role': 'REF', 'nationality': 'England'}, {'id': 11611, 'name': 'Scott Ledger', 'role': 'REF', 'nationality': 'England'}, {'id': 11595, 'name': 'Adrian Holmes', 'role': 'REF', 'nationality': 'England'}, {'id': 11605, 'name': 'Michael Oliver', 'role': 'REF', 'nationality': 'England'}, {'id': 11575, 'name': 'Mike Dean', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,1,,,,,328,Burnley FC,340,Southampton FC
22,303782,2020-09-27T11:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-11-14T08:35:41Z,"[{'id': 11520, 'name': 'Paul Tierney', 'role': 'REF', 'nationality': 'England'}, {'id': 11495, 'name': 'Ian Hussin', 'role': 'REF', 'nationality': 'England'}, {'id': 11570, 'name': 'Harry Lennard', 'role': 'REF', 'nationality': 'England'}, {'id': 23568, 'name': 'Jarred Gillett', 'role': 'REF', 'nationality': 'Australia'}, {'id': 11443, 'name': 'Chris Kavanagh', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,1,0,0,,,,,356,Sheffield United FC,341,Leeds United FC
23,303780,2020-09-27T13:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-27T22:03:39Z,"[{'id': 11309, 'name': 'Peter Bankes', 'role': 'REF', 'nationality': 'England'}, {'id': 11552, 'name': 'Peter Kirkup', 'role': 'REF', 'nationality': 'England'}, {'id': 11404, 'name': 'James Mainwaring', 'role': 'REF', 'nationality': 'England'}, {'id': 11575, 'name': 'Mike Dean', 'role': 'REF', 'nationality': 'England'}, {'id': 11479, 'name': 'Lee Mason', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,DRAW,REGULAR,1,1,1,0,,,,,73,Tottenham Hotspur FC,67,Newcastle United FC
24,303779,2020-09-27T15:30:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-27T23:01:32Z,"[{'id': 11605, 'name': 'Michael Oliver', 'role': 'REF', 'nationality': 'England'}, {'id': 11564, 'name': 'Stuart Burt', 'role': 'REF', 'nationality': 'England'}, {'id': 11488, 'name': 'Simon Bennett', 'role': 'REF', 'nationality': 'England'}, {'id': 11585, 'name': 'Craig Pawson', 'role': 'REF', 'nationality': 'England'}, {'id': 11556, 'name': 'David Coote', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,2,5,1,1,,,,,65,Manchester City FC,338,Leicester City FC
25,303784,2020-09-27T18:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-27T23:59:09Z,"[{'id': 11551, 'name': 'Martin Atkinson', 'role': 'REF', 'nationality': 'England'}, {'id': 11615, 'name': 'Adam Nunn', 'role': 'REF', 'nationality': 'England'}, {'id': 11438, 'name': 'Dan Cook', 'role': 'REF', 'nationality': 'England'}, {'id': 11446, 'name': 'Robert Jones', 'role': 'REF', 'nationality': 'England'}, {'id': 11503, 'name': 'Graham Scott', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,0,1,0,,,,,563,West Ham United FC,76,Wolverhampton Wanderers FC
26,303777,2020-09-28T16:45:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-28T22:42:16Z,"[{'id': 11494, 'name': 'Stuart Attwell', 'role': 'REF', 'nationality': 'England'}, {'id': 11504, 'name': 'Simon Long', 'role': 'REF', 'nationality': 'England'}, {'id': 11424, 'name': 'Neil Davies', 'role': 'REF', 'nationality': 'England'}, {'id': 11423, 'name': 'Andy Madley', 'role': 'REF', 'nationality': 'England'}, {'id': 11551, 'name': 'Martin Atkinson', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,AWAY_TEAM,REGULAR,0,3,0,2,,,,,63,Fulham FC,58,Aston Villa FC
27,303778,2020-09-28T19:00:00Z,FINISHED,3,REGULAR_SEASON,Regular Season,2020-09-28T23:59:36Z,"[{'id': 11585, 'name': 'Craig Pawson', 'role': 'REF', 'nationality': 'England'}, {'id': 11530, 'name': 'Lee Betts', 'role': 'REF', 'nationality': 'England'}, {'id': 11586, 'name': 'Richard West', 'role': 'REF', 'nationality': 'England'}, {'id': 11580, 'name': 'Anthony Taylor', 'role': 'REF', 'nationality': 'England'}, {'id': 11610, 'name': 'Andre Marriner', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,3,1,2,1,,,,,64,Liverpool FC,57,Arsenal FC
28,303791,2020-10-03T11:30:00Z,FINISHED,4,REGULAR_SEASON,Regular Season,2020-11-14T08:35:41Z,"[{'id': 11605, 'name': 'Michael Oliver', 'role': 'REF', 'nationality': 'England'}, {'id': 11564, 'name': 'Stuart Burt', 'role': 'REF', 'nationality': 'England'}, {'id': 11488, 'name': 'Simon Bennett', 'role': 'REF', 'nationality': 'England'}, {'id': 11469, 'name': 'Darren England', 'role': 'REF', 'nationality': 'England'}, {'id': 11610, 'name': 'Andre Marriner', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,0,0,0,,,,,61,Chelsea FC,354,Crystal Palace FC
29,303792,2020-10-03T14:00:00Z,FINISHED,4,REGULAR_SEASON,Regular Season,2020-10-03T18:59:55Z,"[{'id': 11430, 'name': 'Simon Hooper', 'role': 'REF', 'nationality': 'England'}, {'id': 11505, 'name': 'Derek Eaton', 'role': 'REF', 'nationality': 'England'}, {'id': 11611, 'name': 'Scott Ledger', 'role': 'REF', 'nationality': 'England'}, {'id': 11567, 'name': 'Jonathan Moss', 'role': 'REF', 'nationality': 'England'}, {'id': 11487, 'name': 'Kevin Friend', 'role': 'REF', 'nationality': 'England'}]",619,2020-09-12,2021-05-23,38,Activate Odds-Package in User-Panel to retrieve odds.,HOME_TEAM,REGULAR,4,2,2,1,,,,,62,Everton FC,397,Brighton & Hove Albion FC
